current, inductance
297.36,	-169.77
297.63,	-169.96
297.90,	-170.16
298.17,	-170.36
298.45,	-170.55
298.72,	-170.75
298.99,	-170.95
299.26,	-171.15
299.54,	-171.34
299.81,	-171.54
300.08,	-171.74
300.35,	-171.94
300.63,	-172.13
300.90,	-172.33
301.17,	-172.53
301.45,	-172.73
301.72,	-172.92
301.99,	-173.12
302.26,	-173.32
302.54,	-173.52
302.81,	-173.71
303.08,	-173.91
303.35,	-174.11
303.63,	-174.31
303.90,	-174.50
304.17,	-174.70
304.44,	-174.90
304.72,	-175.10
304.99,	-175.29
305.26,	-175.49
305.53,	-175.69
305.81,	-175.89
306.08,	-176.08
306.35,	-176.28
306.63,	-176.48
306.90,	-176.68
307.17,	-176.88
307.44,	-177.07
307.72,	-177.27
307.99,	-177.47
308.26,	-177.67
308.53,	-177.86
308.81,	-178.06
309.08,	-178.26
309.35,	-178.46
309.62,	-178.65
309.90,	-178.85
310.17,	-179.05
310.44,	-179.25
310.71,	-179.45
310.99,	-179.64
311.26,	-179.84
311.53,	-180.04
311.81,	-180.24
312.08,	-180.43
312.35,	-180.63
312.62,	-180.83
312.90,	-181.03
313.17,	-181.23
313.44,	-181.42
313.71,	-181.62
313.99,	-181.82
314.26,	-182.02
314.53,	-182.21
314.80,	-182.41
315.08,	-182.61
315.35,	-182.81
315.62,	-183.01
315.89,	-183.20
316.17,	-183.40
316.44,	-183.60
316.71,	-183.80
316.99,	-184.00
317.26,	-184.19
317.53,	-184.39
317.80,	-184.59
318.08,	-184.79
318.35,	-184.98
318.62,	-185.18
318.89,	-185.38
319.17,	-185.58
319.44,	-185.78
319.71,	-185.97
319.98,	-186.17
320.26,	-186.37
320.53,	-186.57
320.80,	-186.77
321.08,	-186.96
321.35,	-187.16
321.62,	-187.36
321.89,	-187.56
322.17,	-187.76
322.44,	-187.95
322.71,	-188.15
322.98,	-188.35
323.26,	-188.55
323.53,	-188.75
323.80,	-188.95
324.07,	-189.14
324.35,	-189.34
324.62,	-189.54
324.89,	-189.74
325.16,	-189.94
325.44,	-190.13
325.71,	-190.33
325.98,	-190.53
326.26,	-190.73
326.53,	-190.93
326.80,	-191.12
327.07,	-191.32
327.35,	-191.52
327.62,	-191.72
327.89,	-191.92
328.16,	-192.12
328.44,	-192.31
328.71,	-192.51
328.98,	-192.71
329.25,	-192.91
329.53,	-193.11
329.80,	-193.31
330.07,	-193.50
330.34,	-193.70
330.62,	-193.90
330.89,	-194.10
331.16,	-194.30
331.44,	-194.49
331.71,	-194.69
331.98,	-194.89
332.25,	-195.09
332.53,	-195.29
332.80,	-195.49
333.07,	-195.68
333.34,	-195.88
333.62,	-196.08
333.89,	-196.28
334.16,	-196.48
334.43,	-196.68
334.71,	-196.87
334.98,	-197.07
335.25,	-197.27
335.52,	-197.47
335.80,	-197.67
336.07,	-197.87
336.34,	-198.07
336.62,	-198.26
336.89,	-198.46
337.16,	-198.66
337.43,	-198.86
337.71,	-199.06
337.98,	-199.26
338.25,	-199.45
338.52,	-199.65
338.80,	-199.85
339.07,	-200.05
339.34,	-200.25
339.61,	-200.45
339.89,	-200.65
340.16,	-200.84
340.43,	-201.04
340.70,	-201.24
340.98,	-201.44
341.25,	-201.64
341.52,	-201.84
341.80,	-202.03
342.07,	-202.23
342.34,	-202.43
342.61,	-202.63
342.89,	-202.83
343.16,	-203.03
343.43,	-203.23
343.70,	-203.43
343.98,	-203.62
344.25,	-203.82
344.52,	-204.02
344.79,	-204.22
345.07,	-204.42
345.34,	-204.62
345.61,	-204.82
345.88,	-205.01
346.16,	-205.21
346.43,	-205.41
346.70,	-205.61
346.98,	-205.81
347.25,	-206.01
347.52,	-206.21
347.79,	-206.41
348.07,	-206.60
348.34,	-206.80
348.61,	-207.00
348.88,	-207.20
349.16,	-207.40
349.43,	-207.60
349.70,	-207.80
349.97,	-208.00
350.25,	-208.19
350.52,	-208.39
350.79,	-208.59
351.07,	-208.79
351.34,	-208.99
351.61,	-209.19
351.88,	-209.39
352.16,	-209.59
352.43,	-209.78
352.70,	-209.98
352.97,	-210.18
353.25,	-210.38
353.52,	-210.58
353.79,	-210.78
354.06,	-210.98
354.34,	-211.18
354.61,	-211.38
354.88,	-211.57
355.15,	-211.77
355.43,	-211.97
355.70,	-212.17
355.97,	-212.37
356.25,	-212.57
356.52,	-212.77
356.79,	-212.97
357.06,	-213.17
357.34,	-213.36
357.61,	-213.56
357.88,	-213.76
358.15,	-213.96
358.43,	-214.16
358.70,	-214.36
358.97,	-214.56
359.24,	-214.76
359.52,	-214.96
359.79,	-215.16
360.06,	-215.35
360.33,	-215.55
360.61,	-215.75
360.88,	-215.95
361.15,	-216.15
361.43,	-216.35
361.70,	-216.55
