Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
1.780000000000000000e+02,9.221396298118346998e-09,9.280878766540764188e-09,9.109456041251027786e-09,9.168900126199252332e-09
1.790000000000000000e+02,9.289144703547598446e-09,9.348651255570504276e-09,9.177197904849215918e-09,9.236665006160871985e-09
1.800000000000000000e+02,9.356846097078184253e-09,9.416377345525872802e-09,9.244892856128656421e-09,9.304383605198534008e-09
1.810000000000000000e+02,9.424501842985888128e-09,9.484058389418695192e-09,9.312542256986447767e-09,9.372057273450104198e-09
1.820000000000000000e+02,9.492113283977236527e-09,9.551695719032324797e-09,9.380147447827028099e-09,9.439687339918613121e-09
1.830000000000000000e+02,9.559681741142556160e-09,9.619290644861932037e-09,9.447709747512198641e-09,9.507275112408794823e-09
1.840000000000000000e+02,9.627208513942623287e-09,9.686844456088937899e-09,9.515230453344881171e-09,9.574821877497965102e-09
1.850000000000000000e+02,9.694694880226087459e-09,9.754358420586746302e-09,9.582710841083778974e-09,9.642328900538332655e-09
1.860000000000000000e+02,9.762142096275219563e-09,9.821833784955298739e-09,9.650152164986492806e-09,9.709797425688317789e-09
1.870000000000000000e+02,9.829551396877464602e-09,9.889271774581890248e-09,9.717555657878555728e-09,9.777228675970261504e-09
1.880000000000000000e+02,9.896923995420655147e-09,9.956673593726114246e-09,9.784922531246249395e-09,9.844623853352423906e-09
1.890000000000000000e+02,9.964261084009769530e-09,1.002404042562676735e-08,9.852253975351056069e-09,9.911984138853043529e-09
1.900000000000000000e+02,1.003156383360329092e-08,1.009137343262878851e-08,9.919551159363835588e-09,9.979310692664594754e-09
1.910000000000000000e+02,1.009883339416735078e-08,1.015867375632834651e-08,9.986815231516872746e-09,1.004660465429628621e-08
1.920000000000000000e+02,1.016607089484598082e-08,1.022594251773442138e-08,1.005404731927211424e-08,1.011386714273319212e-08
1.930000000000000000e+02,1.023327744414588364e-08,1.029318081744527517e-08,1.012124852950403185e-08,1.018109925661034572e-08
1.940000000000000000e+02,1.030045413013428277e-08,1.036038973583831963e-08,1.018841994869563776e-08,1.024830207440036861e-08
1.950000000000000000e+02,1.036760202064845248e-08,1.042757033327200621e-08,1.025556264314625743e-08,1.031547665461320013e-08
1.960000000000000000e+02,1.043472216351569651e-08,1.049472365029845943e-08,1.032267765918983251e-08,1.038262403600668269e-08
1.970000000000000000e+02,1.050181558678259956e-08,1.056185070788570561e-08,1.038976602342255599e-08,1.044974523780678532e-08
1.980000000000000000e+02,1.056888329895241486e-08,1.062895250764828912e-08,1.045682874293873608e-08,1.051684125993637211e-08
1.990000000000000000e+02,1.063592628922962014e-08,1.069603003208534989e-08,1.052386680557385997e-08,1.058391308325144161e-08
2.000000000000000000e+02,1.070294552777071380e-08,1.076308424482519751e-08,1.059088118015398548e-08,1.065096166978397557e-08
2.010000000000000000e+02,1.076994196594029684e-08,1.083011609087541267e-08,1.065787281675047295e-08,1.071798796299038585e-08
2.020000000000000000e+02,1.083691653657175051e-08,1.089712649687778083e-08,1.072484264693935602e-08,1.078499288800485344e-08
2.030000000000000000e+02,1.090387015423165124e-08,1.096411637136719156e-08,1.079179158406451574e-08,1.085197735189670733e-08
2.040000000000000000e+02,1.097080371548734701e-08,1.103108660503391759e-08,1.085872052350406255e-08,1.091894224393123458e-08
2.050000000000000000e+02,1.103771809917694746e-08,1.109803807098851284e-08,1.092563034293918314e-08,1.098588843583318031e-08
2.060000000000000000e+02,1.110461416668120822e-08,1.116497162502879319e-08,1.099252190262492469e-08,1.105281678205239849e-08
2.070000000000000000e+02,1.117149276219677183e-08,1.123188810590838567e-08,1.105939604566237702e-08,1.111972812003107916e-08
2.080000000000000000e+02,1.123835471301022922e-08,1.129878833560624868e-08,1.112625359827172318e-08,1.118662327047205944e-08
2.090000000000000000e+02,1.130520082977255674e-08,1.136567311959677462e-08,1.119309537006571040e-08,1.125350303760772167e-08
2.100000000000000000e+02,1.137203190677355813e-08,1.143254324712002646e-08,1.125992215432315069e-08,1.132036820946910178e-08
2.110000000000000000e+02,1.143884872221581517e-08,1.149939949145167656e-08,1.132673472826197319e-08,1.138721955815471804e-08
2.120000000000000000e+02,1.150565203848794347e-08,1.156624261017238300e-08,1.139353385331162299e-08,1.145405784009889351e-08
2.130000000000000000e+02,1.157244260243668363e-08,1.163307334543614188e-08,1.146032027538432183e-08,1.152088379633912071e-08
